teacher_id,title,author,genres,description,reading_level,number_in,number_out
9a237f7c6bbd539586f27b43d87183e5,1984,George Orwell,"{""Classics"",""Science Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,145th Street: Short Stories,Walter Dean Myers,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,A Break with Charity: A Story About the Salem Witch Trials,Ann Rinaldi,"{""Historical Fiction""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,A Cool Moonlight,Angela Johnson,"{""Realistic Fiction""}",Description of book goes here.,X,2,0
9a237f7c6bbd539586f27b43d87183e5,A Corner of the Universe,Ann M. Martin,"{""Realistic Fiction""}",Description of book goes here.,Y,1,0
9a237f7c6bbd539586f27b43d87183e5,A James Bond Adventure: Hurricane Gold,Charlie Higson,"{""Adventure""}",Description of book goes here.,W,2,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Christmas Snowman (Book 2),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Secret Valentine (Book 3),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Spooky Sleepover (Book 4),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Jigsaw Jones Mystery: The Case of the Stolen Baseball Cards (Book 5),James Preller,"{""Mystery""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,A Little Princess,Frances Hodgson Burnett,"{""Classics""}",Description of book goes here.,O,1,0
9a237f7c6bbd539586f27b43d87183e5,A Long Walk to Water,Linda Sue Park,"{""Realistic Fiction""}",Description of book goes here.,RST,6,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: A Matter of Trust,Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Austere Academy (Book 5),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,5,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Bad Beginning (Book 1),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Carniverous Carnival (Book 9),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The End (Book 13),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Ersatz Elevator (Book 6),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,5,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Grim Grotto (Book 11),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Miserable Mill (Book 4),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,4,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Penultimate Peril (Book 12),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Reptile Room (Book 2),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Slippery Slope (Book 10),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Vile Village (Book 7),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,3,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Wide Window (Book 3),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,5,0
9a237f7c6bbd539586f27b43d87183e5,A Series of Unfortunate Events: The Hostile Hospital (Book 8),Lemony Snicket,"{""Adventure""}",Description of book goes here.,V,2,0
9a237f7c6bbd539586f27b43d87183e5,A Single Shard,Linda Sue Park,"{""Historical Fiction""}",Description of book goes here.,U,1,0
9a237f7c6bbd539586f27b43d87183e5,A Step From Heaven,An Na,"{""Multicultural""}",Description of book goes here.,OPQ,1,0
9a237f7c6bbd539586f27b43d87183e5,A Swiftly Tilting Planet,Madeleine L'Engle,"{""Science Fiction""}",Description of book goes here.,V,1,0
9a237f7c6bbd539586f27b43d87183e5,A Tale Dark and Grimm,Adam Gidwitz,"{""Mystery/Horror""}",Description of book goes here.,V,1,0
9a237f7c6bbd539586f27b43d87183e5,A Wind in the Door,Madeleine L'Engle,"{""Fantasy""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,A Wrinkle in Time,Madeleine L'Engle,"{""Science Fiction""}",Description of book goes here.,W,3,0
9a237f7c6bbd539586f27b43d87183e5,A Zombie's Guide to the Human Body: Tasty Tidbits From Head to Toe,Paul Beck,"{""Non-Fiction""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Adam Canfield of the Slash,Michael Winerip,"{""Mystery""}",Description of book goes here.,U,1,0
9a237f7c6bbd539586f27b43d87183e5,Adrift: Seventy-six Days Lost at Sea,Steven Callahan,"{""Memoir""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Adventures of Amelia Bedelia,Peggy Parish,"{""Humor""}",Description of book goes here.,L,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Ark Angel (Book 6),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Crocodile Tears (Book 8),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Eagle Strike (Book 4),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Point Blank (Book 2),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,2,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Scorpia Rising (Book 9),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Skeleton Key (Book 3),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alex Rider: Snakehead (Book 7),Anthony Horowitz,"{""Adventure""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Alice's Adventure in Wonderland,Lewis Carroll,"{""Classics""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Alien on a Rampage,Clete Barrett Smith,"{""Science Fiction""}",Description of book goes here.,,1,0
9a237f7c6bbd539586f27b43d87183e5,Almost Home,Joan Bauer,"{""Realistic Fiction""}",Description of book goes here.,Z,2,0
9a237f7c6bbd539586f27b43d87183e5,An Island Like You: Stories of the Barrio,Judith Ortiz Cofer,"{""Short Stories""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Alien (Book 8),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Beginning (Book 54),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Change (Book 13),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Conspiracy (Book 31),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Departure (Book 19),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Discovery (Book 20),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Encounter (Book 3),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,2,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Escape (Book 15),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Forgotten (Book 11),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Invasion (Book 1),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Predator (Book 5),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Pretender (Book 23),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Prophesy (Book 34),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Return (Book 48),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Secret (Book 9),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Separation (Book 32),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Sickness (Book 29),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Suspicion (Book 24),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Threat (Book 21),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Unknown (Book 14),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Animorphs: The Warning (Book 16),K.A. Applegate,"{""Science Fiction""}",Description of book goes here.,T,2,0
9a237f7c6bbd539586f27b43d87183e5,Any Small Goodness: A novel of the Barrio,Tony Johnston,"{""Multicultural""}",Description of book goes here.,S,1,0
9a237f7c6bbd539586f27b43d87183e5,"Are You There God? It's Me, Margaret.",Judy Blume,"{""Realistic Fiction""}",Description of book goes here.,T,2,0
9a237f7c6bbd539586f27b43d87183e5,Artemis Fowl: Artemis Fowl (Book 1),Eoin Colfer,"{""Fantasy""}",Description of book goes here.,X,5,0
9a237f7c6bbd539586f27b43d87183e5,Artemis Fowl: The Enternity Code (Book 3),Eoin Colfer,"{""Fantasy""}",Description of book goes here.,X,2,0
9a237f7c6bbd539586f27b43d87183e5,Artemis Fowl: The Eternity Code (Book 3),Eoin Colfer,"{""Fantasy""}",Description of book goes here.,X,2,0
9a237f7c6bbd539586f27b43d87183e5,Artemis Fowl: The Opal Deception (Book 4),Eoin Colfer,"{""Fantasy""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Artemis Fowl: The Time Paradox (Book 6),Eoin Colfer,"{""Fantasy""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,At Her Majesty's Request: An African Princess in Victorian England,Walter Dean Myers,"{""Historical Fiction""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Bad Boy,Walter Dean Myers,"{""Memoir""}",Description of book goes here.,Y,1,0
9a237f7c6bbd539586f27b43d87183e5,Baseball in April and Other Stories,Gary Soto,"{""Short Stories""}",Description of book goes here.,U,1,0
9a237f7c6bbd539586f27b43d87183e5,Beast Quest: Ferno The Fire Dragon (Book 1),Adam Blade,"{""Fantasy""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,Beast Quest: Sepron The Sea Serpent (Book 2),Adam Blade,"{""Fantasy""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,"{""Fantasy""}",Description of book goes here.,Y,2,0
9a237f7c6bbd539586f27b43d87183e5,Because of Mr. Terupt,Rob Buyea,"{""Realistic Fiction""}",Description of book goes here.,N,1,0
9a237f7c6bbd539586f27b43d87183e5,Because of Winn-Dixie,Kate DiCamillo,"{""Realistic Fiction""}",Description of book goes here.,M,2,0
9a237f7c6bbd539586f27b43d87183e5,Becoming Joe DiMaggio,Maria Testa,"{""Poetry""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Becoming Naomi Leon,Pam Munoz Ryan,"{""Realistic Fiction""}",Description of book goes here.,V,1,0
9a237f7c6bbd539586f27b43d87183e5,Before We Were Free,Julia Alvarez,"{""Historical Fiction""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Between Madison and Palmetto,Jacqueline Woodson,"{""Realistic Fiction""}",Description of book goes here.,OPQ,3,0
9a237f7c6bbd539586f27b43d87183e5,Between Shades of Gray,Ruta Sepetys,"{""Historical Fiction""}",Description of book goes here.,R,1,0
9a237f7c6bbd539586f27b43d87183e5,Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,"{""Non-Fiction/LGBT""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Big Mouth & Ugly Girl,Joyce Carol Oates,"{""Realistic Fiction""}",Description of book goes here.,RST,1,0
9a237f7c6bbd539586f27b43d87183e5,"Black Potatoes: The Story of the Great Irish Famine, 1845-1850",Susan Campbell Bartoletti,"{""Non-Fiction""}",Description of book goes here.,Y,1,0
9a237f7c6bbd539586f27b43d87183e5,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"{""Non-Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bloomability,Sharon Creech,"{""Realistic Fiction""}",Description of book goes here.,S,1,0
9a237f7c6bbd539586f27b43d87183e5,Blubber,Judy Blume,"{""Realistic Fiction""}",Description of book goes here.,T,2,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: A Matter of Trust (Book 2),Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Blood Is Thicker (Book 8),Paul Langan & D.M. Blackwell,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Brothers in Arms (Book 9),Paul Langan & Ben Alirez,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Lost and Found (Book 1),Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Payback (Book 6),Paul Langan,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Secrets in the Shadows (Book 3),Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,3,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Someone to Love Me (Book 4),Anne Schraff,"{""Realistic Fiction""}",Description of book goes here.,Z,2,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: Summer of Secrets (Book 10),Paul Langan,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: The Bully (Book 5),Paul Langan,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bluford High: The Fallen (Book 11),Paul Langan,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bomb: The Race to Build--and Steal--the World's Most Dangerous Weapon,Steve Sheinkin,"{""Non-Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bound to You,Christopher Pike,"{""Romance/Thriller""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Bridge to Terabithia,Katherine Paterson,"{""Fantasy""}",Description of book goes here.,T,2,0
9a237f7c6bbd539586f27b43d87183e5,Bronx Masquerade,Nikki Grimes,"{""Realistic Fiction/Poetry""}",Description of book goes here.,Z,3,0
9a237f7c6bbd539586f27b43d87183e5,"Bud, Not Buddy",Christopher Paul Curtis,"{""Historical Fiction""}",Description of book goes here.,U,2,0
9a237f7c6bbd539586f27b43d87183e5,Bunnicula: A Rabbit-Tale of Mystery,James Howe,"{""Mystery""}",Description of book goes here.,Q,2,0
9a237f7c6bbd539586f27b43d87183e5,Call Me Maria,Judith Ortiz Coler,"{""Realistic Fiction""}",Description of book goes here.,V,1,0
9a237f7c6bbd539586f27b43d87183e5,Cam Jansen: The Mystery at the Haunted House (Book 13),David A. Adler,"{""Mystery""}",Description of book goes here.,L,2,0
9a237f7c6bbd539586f27b43d87183e5,Cam Jansen: The Mystery of the Dinosaur Bones (Book 3),David A. Adler,"{""Mystery""}",Description of book goes here.,L,1,0
9a237f7c6bbd539586f27b43d87183e5,Cam Jansen: The Mystery of the U.F.O. (Book 2),David A. Adler,"{""Mystery""}",Description of book goes here.,L,1,0
9a237f7c6bbd539586f27b43d87183e5,Charlie and the Great Glass Elevator,Roald Dahl,"{""Fantasy/Humor""}",Description of book goes here.,R,3,0
9a237f7c6bbd539586f27b43d87183e5,Charlie and the Chocolate Factory,Roald Dahl,"{""Fantasy/Humor""}",Description of book goes here.,R,4,0
9a237f7c6bbd539586f27b43d87183e5,Charlie Bone and the Hidden King (Book 5),Jenny Nimmo,"{""Adventure""}",Description of book goes here.,U,1,0
9a237f7c6bbd539586f27b43d87183e5,Charlotte's Web,E.B. White,"{""Fantasy/Classics""}",Description of book goes here.,R,3,0
9a237f7c6bbd539586f27b43d87183e5,"Chet Gecko Mysteries: Farewell, My Lunchbag (Book 3)",Bruce Hale,"{""Mystery""}",Description of book goes here.,O,1,0
9a237f7c6bbd539586f27b43d87183e5,Chet Gecko Mysteries: The Malted Falcon (Book 7),Bruce Hale,"{""Mystery""}",Description of book goes here.,O,1,0
9a237f7c6bbd539586f27b43d87183e5,Chicken Boy,Frances O'Roark Dowell,"{""Realistic Fiction""}",Description of book goes here.,W,2,0
9a237f7c6bbd539586f27b43d87183e5,Children of the River,Linda Crew,"{""Multicultural""}",Description of book goes here.,Y,1,0
9a237f7c6bbd539586f27b43d87183e5,Childtimes: A Three-Generation Memoir,Eloise Greenfield & Lessie Jones Little,"{""Memoir""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Chinatown Mystery: The Case of the Goblin Pearls (Book 1),Christopher Yip,"{""Mystery""}",Description of book goes here.,RST,1,0
9a237f7c6bbd539586f27b43d87183e5,Chronicles of Ancient Darkness: Soul Eater (Book 3),Michelle Paver,"{""Adventure""}",Description of book goes here.,OPQ,2,0
9a237f7c6bbd539586f27b43d87183e5,Chronicles of Ancient Darkness: Spirit Walker (Book 2),Michelle Paver,"{""Adventure""}",Description of book goes here.,OPQ,2,0
9a237f7c6bbd539586f27b43d87183e5,Chronicles of Ancient Darkness: Wolf Brother (Book 1),Michelle Paver,"{""Adventure""}",Description of book goes here.,OPQ,2,0
9a237f7c6bbd539586f27b43d87183e5,Circle of Magic: Daja's Book (Book 3),Tamora Pierce,"{""Fantasy""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Circle of Magic: Sandry's Book (Book 1),Tamora Pierce,"{""Fantasy""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Circle of Magic: Tris's Book (Book 2),Tamora Pierce,"{""Fantasy""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Cirque Du Freak: Tunnels of Blood (Book 3),Darren Shan,"{""Mystery/Horror""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Code Talker: A Novel About the Navajo Marines of World War Two,Joseph Bruchac,"{""Historical Fiction""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Come A Stranger,Cynthia Voigt,"{""Realistic Fiction""}",Description of book goes here.,S,1,0
9a237f7c6bbd539586f27b43d87183e5,Confessions of a Murder Suspect,James Patterson & Maxine Paetro,"{""Adventure""}",Description of book goes here.,,1,0
9a237f7c6bbd539586f27b43d87183e5,Coraline,Neil Gaiman,"{""Mystery""}",Description of book goes here.,W,1,0
9a237f7c6bbd539586f27b43d87183e5,Cover-Up: Mystery at the Super Bowl,John Feinstein,"{""Mystery/Sports""}",Description of book goes here.,,1,0
9a237f7c6bbd539586f27b43d87183e5,Crystal,Walter Dean Myers,"{""Realistic Fiction""}",Description of book goes here.,W,3,0
9a237f7c6bbd539586f27b43d87183e5,"Curveball, The Year I Lost My Grip",Jordan Sonnenblick,"{""Realistic Fiction/Sports""}",Description of book goes here.,X,1,0
9a237f7c6bbd539586f27b43d87183e5,Daniel X: The Dangerous Days Daniel X (Book 1),James Patterson & Michael Ledwidge,"{""Science Ficiton""}",Description of book goes here.,,1,0
9a237f7c6bbd539586f27b43d87183e5,Daniel X: Watch the Skies (Book 2),James Patterson & Ned Rust,"{""Science Ficiton""}",Description of book goes here.,,1,0
9a237f7c6bbd539586f27b43d87183e5,Danny the Champion of the World,Roald Dahl,"{""Fantasy/Humor""}",Description of book goes here.,T,1,0
9a237f7c6bbd539586f27b43d87183e5,Dare Truth or Promise,Paula Boock,"{""Realistic Fiction/LQBT""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dark Victory: A Novel is the Alien Resistance,Brendan DuBois,"{""Science Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Darkness Before Dawn,Sharon M. Draper,"{""Realistic Fiction""}",Description of book goes here.,Z,1,0
9a237f7c6bbd539586f27b43d87183e5,Darnell Rock Reporting,Walter Dean Myers,"{""Realistic Fiction""}",Description of book goes here.,S,3,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: A Coal Miner's Bride: The Diary of Anetka Kaminska,Susan Campbell Bartoletti,"{""Historical Fiction""}",Description of book goes here.,UVW,2,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: A Light in the Storm: The Civil War Diary of Amelia Martin,Karen Hesse,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,"Dear America: A Picture of Freedom: The Diary of Clotee, a Slave Girl",Patricia C. Mckissack,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: A Time for Courage: The Suffragette Diary of Kathleen Bowen,Kristina Gregory,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: A Time for Courage: The Suffragette Diary of Kathleen Bowen,Kathryn Lasky,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,"Dear America: Dreams in the Golden Country: The Diary of Zipporah Feldman, a Jewish Immigrant Girl",Kathryn Lasky,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: Early Sunday Morning: The Pearl Harbor Diary of Amber Billows,Barry Denenberg,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: My Secret War: The World War II Diary of Madeline Beck,Mary Pope Osborne,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: Seeds of Hope: The Gold Rush Diary of Susanna FairChild,Kristina Gregory,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,"Dear America: So Far from Home: The Diary of Mary Driscoll, an Irish Mill Girl",Barry Denenberg,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: Standing in the Light: The Captide Diary of Catharine Carey Logan,Mary Pope Osborne,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: The Great Railroad Race: The Diary of Libby West,Kristina Gregory,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
9a237f7c6bbd539586f27b43d87183e5,Dear America: The Winter of Red Snow: The Revolutionary war Diary of Abgail Jane Stewart,Kristina Gregory,"{""Historical Fiction""}",Description of book goes here.,UVW,1,0
